,City,Lat,Lng,Max Temp,Current Description,Humidity,Cloudiness,Wind Speed,Country
319,Vodnyy,63.5046,53.4095,-1.68,overcast clouds,99,89,4.25,RU
320,Sassandra,4.95,-6.0833,74.88,overcast clouds,90,99,0.65,CI
321,Santa Isabel Do Rio Negro,-0.4139,-65.0192,77.25,overcast clouds,96,98,0.31,BR
322,Labuhan,-6.8844,112.2051,77.74,overcast clouds,86,100,4.16,ID
323,Libertador General San Martin,-23.8064,-64.7876,93.97,clear sky,25,4,4.03,AR
324,La Reforma,25.0833,-108.05,81.59,broken clouds,52,55,11.54,MX
325,Sarakhs,36.5449,61.1577,39.04,overcast clouds,25,94,4.99,IR
326,Port Hedland,-20.3167,118.5667,78.85,few clouds,83,16,10.36,AU
327,Ati,13.2154,18.3353,78.85,clear sky,20,7,9.19,TD
328,Padang,-0.9492,100.3543,75.56,moderate rain,89,100,3.53,ID
329,Narsaq,60.9167,-46.05,12.7,clear sky,83,2,7.94,GL
330,Surok,56.4469,48.1214,-3.23,broken clouds,96,75,1.81,RU
331,Concordia,-31.393,-58.0209,84.27,scattered clouds,54,40,8.05,AR
332,Rapid City,44.0805,-103.231,43.29,clear sky,33,4,7.0,US
333,Axim,4.8699,-2.2405,78.33,overcast clouds,84,99,6.15,GH
334,Akranes,64.3218,-22.0749,34.36,clear sky,74,6,3.78,IS
335,Bati,11.1833,40.0167,59.0,few clouds,53,20,4.59,ET
336,Asosa,10.0667,34.5333,67.69,scattered clouds,37,26,4.45,ET
337,Carnarvon,-24.8667,113.6333,69.51,clear sky,82,8,15.84,AU
338,Lata,40.1629,-8.3327,49.08,overcast clouds,82,99,2.06,PT
339,Yakeshi,49.2833,120.7333,-19.46,overcast clouds,100,99,4.9,CN
340,Saiha,22.4833,92.9667,60.76,clear sky,91,0,3.24,IN
341,Faya,18.3851,42.4509,55.92,clear sky,84,5,2.42,SA
342,Marsa Matruh,31.3525,27.2453,64.72,scattered clouds,70,35,6.67,EG
343,Kozulka,50.0351,23.797,29.17,overcast clouds,94,99,8.79,UA
344,Kulhudhuffushi,6.6221,73.07,80.02,broken clouds,77,78,5.88,MV
345,Tecpan,14.7623,-90.9947,55.89,overcast clouds,74,90,8.52,GT
